objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dune: War for Arrakis – Smugglers","371018","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130926","5.64372","8.50647","0","0","1736","thing","Dune: War for Arrakis – Smugglers","1","4","120","120","120","2024","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Dungeon Lords","45315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136102996","7.06573","7.34492","3.5737","425","16676","thing","Dungeon Lords","2","4","90","90","90","2009","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Onslaught","359835","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130586","5.60762","7.46096","3","8736","579","thing","Dungeons & Dragons: Onslaught","2","2","90","0","90","2023","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Onslaught – Many Arrows Faction Pack","385628","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130601","0","8.91667","0","0","119","thing","Dungeons & Dragons: Onslaught – Many Arrows Faction Pack","2","4","120","120","90","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Edge: Dawnfall","207729","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517031","6.11565","8.20106","3.0588","2525","2258","thing","The Edge: Dawnfall","1","4","90","90","60","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Awaken Realms","English","2020","English 1.6 edition"
"Euthia: Torment of Resurrection","295785","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130464","6.43582","8.52519","3.5321","1451","2966","thing","Euthia: Torment of Resurrection","1","4","480","480","60","2021","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresco: Big Box","139991","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327602","6.41908","7.66823","2.7544","0","4580","thing","Fresco: Big Box","2","4","60","60","60","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517379","7.10307","7.40272","3.2876","388","26030","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Guards of Atlantis II","267609","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130415","6.6797","8.40325","3.3443","925","2720","thing","Guards of Atlantis II","4","10","120","120","90","2022","4,6,8,10","4,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"HATE","233868","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267133","6.04458","7.66347","2.4878","2857","3019","thing","HATE","2","6","120","120","60","2019","2,4,6","2,4","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"HATE: The Mother Prophecy","246987","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267146","5.59972","8.21712","3","0","1198","thing","HATE: The Mother Prophecy","2","6","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory","321608","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537056","7.81466","8.40747","4.2335","43","16936","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory – Crisis & Control","374250","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537068","6.08353","8.43755","4.4815","0","4962","thing","Hegemony: Lead Your Class to Victory – Crisis & Control","1","4","180","180","90","2023","1,2,3,4","1,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Heroscape Master Set: Age of Annihilation","368557","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","137370122","5.74347","8.69816","2.5","5354","796","thing","Heroscape Master Set: Age of Annihilation","2","2","120","120","60","2024","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hoplomachus: Remastered","338434","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327630","6.11091","8.03276","2.7083","2540","2418","thing","Hoplomachus: Remastered","1","4","60","60","60","2023","1,2,4","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Horus Heresy","63543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130453","6.15184","7.04648","3.7758","2362","4552","thing","Horus Heresy","2","2","135","135","135","2010","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Icaion","276090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517276","5.85845","7.37673","3.2692","4090","1727","thing","Icaion","2","5","120","120","90","2020","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Fox & The Forest","368720","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537149","0","7.88","3","0","193","thing","Ivion: The Fox & The Forest","2","4","30","30","15","2023","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Hound & The Hare","264205","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537118","5.56899","7.77671","2.6667","11016","334","thing","Ivion: The Hound & The Hare","2","4","30","30","15","2021","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Knight & The Lady","344117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537125","5.57097","7.69488","2.6667","10862","327","thing","Ivion: The Knight & The Lady","2","4","30","30","15","2021","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Ram & The Raven","368605","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537141","0","8.1","3","0","177","thing","Ivion: The Ram & The Raven","2","4","30","30","15","2023","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Sun & The Stars","344118","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537135","5.57276","7.94286","2.8","10707","319","thing","Ivion: The Sun & The Stars","2","4","30","30","15","2022","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","272738","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130385","6.6111","7.07139","2.1575","1051","17270","thing","Jaws","2","4","60","60","60","2019","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Krosmaster Arena 2.0","203719","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130578","5.72242","7.13083","2.7143","5700","1562","thing","Krosmaster Arena 2.0","2","4","60","60","45","2016","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Krosmaster Junior","155822","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130579","5.5491","5.9614","1","12890","1258","thing","Krosmaster Junior","2","4","15","15","5","2014","2,3,4","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Krosmaster: Arena","112138","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130563","6.18812","6.69491","2.6703","2231","7866","thing","Krosmaster: Arena","2","4","60","60","45","2012","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Krosmaster: Quest","155827","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130571","5.69828","6.7523","3.0833","6127","2285","thing","Krosmaster: Quest","2","6","180","180","120","2015","3,4,5","4,5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Will","97842","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136102999","6.8654","7.16358","2.7202","654","12693","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130654","7.89617","8.35989","2.0595","32","30671","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth","269385","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537089","7.48561","7.89448","2.6901","139","32270","thing","The Lord of the Rings: Journeys in Middle-Earth","1","5","120","120","60","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – Dwellers in Darkness Figure Pack","316630","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537095","6.22376","8.15094","2.9333","0","7497","thing","The Lord of the Rings: Journeys in Middle-earth – Dwellers in Darkness Figure Pack","1","5","120","120","60","2020","1,2,3,4","1,2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth – Scourges of the Wastes Figure Pack","367925","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537104","5.87668","8.37853","2.8571","0","4210","thing","The Lord of the Rings: Journeys in Middle-Earth – Scourges of the Wastes Figure Pack","1","5","120","120","60","2022","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – Shadowed Paths Expansion","299597","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537098","6.82674","8.59834","2.9688","0","10677","thing","The Lord of the Rings: Journeys in Middle-earth – Shadowed Paths Expansion","1","5","120","120","60","2020","1,2,3,4","1,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth – Spreading War Expansion","342189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537093","6.35041","8.63851","2.75","0","7225","thing","The Lord of the Rings: Journeys in Middle-Earth – Spreading War Expansion","1","5","120","120","60","2021","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords of Hellas","222509","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517581","7.03486","7.622","3.3333","451","11649","thing","Lords of Hellas","1","4","90","90","60","2018","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Hellas: Atlas","238986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130507","5.66603","7.89721","4","0","2147","thing","Lords of Hellas: Atlas","1","4","240","240","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords of Hellas: City of Steel","238984","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130508","5.70242","7.99554","4","0","2335","thing","Lords of Hellas: City of Steel","1","6","0","0","0","2018","5,6","2,6","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords of Hellas: Lord of the Sun","238982","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130516","5.70136","8.04057","4","0","2242","thing","Lords of Hellas: Lord of the Sun","1","4","0","0","0","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130940","7.58539","7.73061","2.4495","102","73295","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep: Scoundrels of Skullport","134342","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130942","7.79563","8.20949","2.6496","0","35267","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Mage Wars Academy","172503","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327471","6.06261","7.08808","3.1212","2766","3996","thing","Mage Wars Academy","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Arena","101721","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327426","7.01882","7.56887","3.6827","467","14088","thing","Mage Wars Arena","2","2","90","90","90","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Arena: Battlegrounds Domination","174451","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327454","5.71176","7.96372","4","0","1372","thing","Mage Wars Arena: Battlegrounds Domination","2","4","90","90","45","2015","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mage Wars Arena: Forcemaster vs Warlord Expansion Set","133798","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327438","6.2651","8.14154","3.641","0","3676","thing","Mage Wars Arena: Forcemaster vs Warlord Expansion Set","2","2","90","90","90","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mage Wars Arena: Paladin vs Siren Expansion Set","202760","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327461","5.72129","8.47015","3.5","0","1157","thing","Mage Wars Arena: Paladin vs Siren Expansion Set","2","2","0","0","0","2016","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mage Wars: Druid vs. Necromancer","142359","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327443","6.18016","8.26738","3.4643","0","3140","thing","Mage Wars: Druid vs. Necromancer","2","2","90","90","90","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136328583","7.68804","7.92243","2.6996","71","63719","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mare Nostrum: Empires","174785","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327653","6.78218","7.51904","2.9863","763","6451","thing","Mare Nostrum: Empires","3","5","120","120","90","2016","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monumental","248125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517443","6.36746","7.41202","2.8889","1623","4616","thing","Monumental","1","4","120","120","90","2020","1,2,3","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Monumental: Lost Kingdoms","266939","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517463","5.65988","7.24847","3","0","1913","thing","Monumental: Lost Kingdoms","1","5","120","120","90","2020","3,4","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Movie Empire","241829","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517540","5.56365","6.67958","2.5","11452","388","thing","Movie Empire","1","4","120","120","45","2020","1,2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale","194607","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327699","6.93332","7.23692","2.2591","569","17410","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale: Vale of the Wild","220502","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327719","6.23928","7.87623","2.4286","0","4455","thing","Mystic Vale: Vale of the Wild","2","4","45","45","45","2017","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon","186751","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517313","6.98029","8.30503","3.0602","509","6759","thing","Mythic Battles: Pantheon","2","4","90","90","60","2019","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Monolith Board Games","English; French","2019","English/French 1.5 edition 2019"
"Mythic Battles: Pantheon – Atlas","242993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130298","5.68935","8.13751","0","0","2313","thing","Mythic Battles: Pantheon – Atlas","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Compendium","219999","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130301","5.61851","8","0","0","1538","thing","Mythic Battles: Pantheon – Compendium","1","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Dionysus","255505","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130304","5.58785","8.69059","0","0","1132","thing","Mythic Battles: Pantheon – Dionysus","1","4","90","90","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Echidna's Children","218877","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130295","5.6186","8.19837","0","0","1521","thing","Mythic Battles: Pantheon – Echidna's Children","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Hephaistos","218880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130292","5.68552","8.44554","0","0","1892","thing","Mythic Battles: Pantheon – Hephaistos","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Hera Expansion","218879","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130289","5.71328","8.46473","0","0","2025","thing","Mythic Battles: Pantheon – Hera Expansion","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
