objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Mythic Battles: Pantheon – Heroes of the Trojan Wars","218884","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130288","5.66691","8.31273","0","0","1840","thing","Mythic Battles: Pantheon – Heroes of the Trojan Wars","2","4","90","90","45","2017","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Judges of the Underworld","218883","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130287","5.62833","8.20652","0","0","1691","thing","Mythic Battles: Pantheon – Judges of the Underworld","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Manticore","218882","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130309","5.6442","8.38993","0","0","1699","thing","Mythic Battles: Pantheon – Manticore","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Oedipus Vs. the Sphinx","218881","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130308","5.61491","8.12698","0","0","1677","thing","Mythic Battles: Pantheon – Oedipus Vs. the Sphinx","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Pandora's Box","220000","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130310","5.94926","8.68704","3","0","5053","thing","Mythic Battles: Pantheon – Pandora's Box","1","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Poseidon Expansion","213527","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130311","5.70032","8.49167","3","0","1924","thing","Mythic Battles: Pantheon – Poseidon Expansion","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Rise of the Titans","218876","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130312","5.67631","8.36761","3","0","1852","thing","Mythic Battles: Pantheon – Rise of the Titans","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Ragnarök","331398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517305","6.02477","8.40919","3.3226","2951","2042","thing","Mythic Battles: Ragnarök","2","4","90","90","60","2023","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythic Battles: Ragnarök – Ymir","255504","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327348","5.60212","8.55098","0","0","1333","thing","Mythic Battles: Ragnarök – Ymir","1","4","90","90","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Nemesis","167355","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517161","7.95115","8.25309","3.4824","23","48015","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis: Aftermath","318351","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130520","6.25248","8.35534","3.3182","0","7112","thing","Nemesis: Aftermath","1","5","60","60","45","2021","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Nemesis: Lockdown","310100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517141","7.51219","8.27008","3.9018","124","18686","thing","Nemesis: Lockdown","1","5","180","180","90","2022","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis: Retaliation","381248","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517531","6.50195","8.85093","3.7143","1278","4838","thing","Nemesis: Retaliation","1","5","180","180","120","2025","1,2,3,4,5","4,5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis: Retaliation","381248","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136328517","6.50195","8.85093","3.7143","1278","4838","thing","Nemesis: Retaliation","1","5","180","180","120","2025","1,2,3,4,5","4,5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Oathsworn: Into the Deepwood","251661","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537166","7.7216","8.80513","3.6886","62","12224","thing","Oathsworn: Into the Deepwood","1","4","90","90","30","2022","1,2,3,4","2,4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Prêt-à-Porter","87890","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517243","6.71509","7.27921","3.5643","863","9543","thing","Prêt-à-Porter","2","4","90","90","90","2010","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy","28143","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130471","7.61917","7.73829","2.9919","89","72736","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Railways of Nippon","214988","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517350","5.9042","7.5931","2.2308","3724","1291","thing","Railways of Nippon","2","4","120","120","90","2018","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Reichbusters: Projekt Vril","262733","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327867","5.80786","7.38797","3.0714","4559","1746","thing","Reichbusters: Projekt Vril","1","4","90","90","45","2020","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Relic","128442","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327611","6.17017","6.75585","2.4747","2290","6783","thing","Relic","2","4","120","120","60","2013","2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Relic: Nemesis","153758","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327621","5.77854","7.2019","2.7368","0","2376","thing","Relic: Nemesis","2","6","150","150","150","2014","2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Rising Sun","205896","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327764","7.45602","7.7566","3.2994","149","28916","thing","Rising Sun","3","5","120","120","90","2018","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Robot Quest Arena","304668","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130781","6.32898","7.69592","2.1429","1733","3027","thing","Robot Quest Arena","2","4","60","60","30","2023","2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll for the Galaxy","132531","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327744","7.41155","7.57052","2.7807","164","40328","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll Player","169426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517098","7.21361","7.42554","2.4215","287","33388","thing","Roll Player","1","4","90","90","60","2016","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Thunderworks Games","English","2016","English edition"
"Root","237182","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267106","7.88268","8.07034","3.8344","33","94723","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: The Riverfolk Expansion","241386","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267124","7.75551","8.42721","3.8733","0","36580","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Underworld Expansion","272637","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267113","7.74484","8.71109","3.6304","0","26958","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Runewars","59294","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327681","7.0903","7.60834","3.7839","398","11163","thing","Runewars","2","4","240","240","180","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Rurik: Dawn of Kiev","228328","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267197","6.64239","7.68062","3.0756","1000","3458","thing","Rurik: Dawn of Kiev","1","4","120","120","60","2019","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rurik: Dawn of Kiev – Kickstarter Edition","288316","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517338","5.80779","7.93541","2.8","0","951","thing","Rurik: Dawn of Kiev – Kickstarter Edition","1","4","120","120","60","2019","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull Tales","166776","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517505","5.67576","7.6683","3.3333","6624","528","thing","Skull Tales","1","4","180","180","120","2015","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull Tales: Full Sail!","248949","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267177","6.04047","7.76508","3.918","2871","2853","thing","Skull Tales: Full Sail!","1","5","150","150","60","2019","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull Tales: Full Sail! – Mega-Expansion","282082","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267184","5.6359","7.80961","3.5","0","1102","thing","Skull Tales: Full Sail! – Mega-Expansion","1","5","150","150","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Skytear","259061","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517357","6.0279","7.76681","3.3148","2935","2392","thing","Skytear","2","4","45","45","45","2020","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Starcadia Quest","257193","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517107","6.03685","7.34022","2.6667","2891","3474","thing","Starcadia Quest","2","4","60","60","60","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Starcadia Quest: ARRRmada","260117","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130433","5.58098","7.6589","2","0","1485","thing","Starcadia Quest: ARRRmada","2","4","60","60","60","2020","3,4","4","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Starcadia Quest: Thornetroopers","274507","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130430","5.55229","7.51639","3","0","955","thing","Starcadia Quest: Thornetroopers","2","4","60","0","60","2020","3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The Stifling Dark","346773","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537187","5.68637","7.45242","3.1429","6385","1158","thing","The Stifling Dark","2","5","120","120","60","2024","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Stockpile","161614","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130331","6.96475","7.42658","2.1208","530","8056","thing","Stockpile","2","5","45","45","45","2015","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tail Feathers","179820","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517472","5.81095","7.01692","3.1111","4524","3817","thing","Tail Feathers","2","4","90","90","60","2015","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tainted Grail: Kings of Ruin","360366","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130524","6.20259","8.722","3.3077","2165","4278","thing","Tainted Grail: Kings of Ruin","1","4","120","120","90","2024","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terracotta Army","350458","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136730758","6.34538","7.40296","3.3667","1684","4701","thing","Terracotta Army","1","4","120","120","90","2022","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Time of Legends: Joan of Arc","230791","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517018","6.11332","7.83872","3.5143","2532","3317","thing","Time of Legends: Joan of Arc","2","4","90","90","45","2019","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsukuyumi: Full Moon Down","185538","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327577","6.11266","7.82942","3.7705","2535","1711","thing","Tsukuyumi: Full Moon Down","3","5","180","180","90","2018","2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unfathomable","340466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130448","6.9067","7.4771","3.1333","600","14529","thing","Unfathomable","3","6","240","240","120","2021","4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unfathomable: From the Abyss","416590","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130449","5.70726","8.17896","3.6","0","1598","thing","Unfathomable: From the Abyss","3","6","180","180","180","2024","5","5","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"War of the Ring: Kings of Middle-earth","299490","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327339","5.86552","8.67772","3.625","0","3349","thing","War of the Ring: Kings of Middle-earth","2","4","150","150","150","2023","2,3,4","2","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"War of the Ring: Lords of Middle-earth","122328","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130759","7.02936","8.67057","3.8219","0","12455","thing","War of the Ring: Lords of Middle-earth","2","4","180","180","180","2012","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"War of the Ring: Second Edition","115746","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130756","8.19263","8.54666","4.223","8","39698","thing","War of the Ring: Second Edition","2","4","240","240","150","2011","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring: Warriors of Middle-earth","179404","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130758","6.53539","8.31263","4.1212","0","9908","thing","War of the Ring: Warriors of Middle-earth","2","4","180","180","150","2016","2,4","2","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"War of the Worlds: The New Wave","226631","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517525","5.90522","7.02835","2.2083","3717","2112","thing","War of the Worlds: The New Wave","2","2","45","45","45","2019","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer: Diskwars","146418","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","137358154","6.18195","7.07168","2.7717","2250","4482","thing","Warhammer: Diskwars","2","4","90","90","45","2013","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wiz-War (Eighth Edition)","104710","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327394","6.54291","7.0599","2.3187","1190","7642","thing","Wiz-War (Eighth Edition)","2","4","60","60","30","2012","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wiz-War: Malefic Curses","147473","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327390","5.90916","7.87547","2.25","0","1892","thing","Wiz-War: Malefic Curses","2","5","120","120","120","2014","2,3,4,5","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The World of SMOG: Rise of Moloch","209324","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327809","6.07986","7.687","2.9091","2685","3384","thing","The World of SMOG: Rise of Moloch","2","5","90","90","45","2018","2,3,4,5","2,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The World of SMOG: Rise of Moloch – Arcanist Extras Box","260826","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327847","5.56508","8.36885","3","0","771","thing","The World of SMOG: Rise of Moloch – Arcanist Extras Box","2","5","90","90","45","2018","3,4,5","5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"The World of SMOG: Rise of Moloch – The Embassy","218416","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327835","5.58672","7.91563","0","0","1692","thing","The World of SMOG: Rise of Moloch – The Embassy","2","5","90","90","45","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Xia: Embers of a Forsaken Star","199329","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517420","7.2417","8.71622","3.4909","0","10079","thing","Xia: Embers of a Forsaken Star","1","5","180","180","60","2017","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Xia: Legends of a Drift System","82222","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517415","7.37335","7.85874","3.1965","193","16689","thing","Xia: Legends of a Drift System","3","5","180","180","60","2014","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: Invader","248065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517265","6.62649","7.75628","2.3523","1019","7557","thing","Zombicide: Invader","1","6","60","60","60","2019","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: Invader – Black Ops","250843","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517519","5.84224","7.90793","2.2857","0","3564","thing","Zombicide: Invader – Black Ops","1","12","60","60","60","2019","1,2,3,4,5,6","2,3,6","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
